Crossover Operator,Mutation Operator,Maximum Fitness,Time,Fitness Change per Time
OX1,Two_Opt_Flip,-4.285000000000001,71.25704073905945,0.0651865408922861
OX1,Two_Opt_Flip,-5.53,70.65756177902222,0.0411845516138933
OX1,Two_Opt_Flip,-5.109999999999999,71.20393967628479,0.0484523751871704
OX1,Two_Opt_Flip,-5.07,71.2074921131134,0.0508373472028703
OX1,Two_Opt_Flip,-5.08,70.49661993980408,0.0479455611189036
OX1,Two_Opt_Flip,-4.890000000000001,70.931804895401,0.0350336496253617
OX1,Two_Opt_Flip,-4.885000000000001,70.06144094467163,0.0515262025919629
OXR,Two_Opt_Swap,-5.4350000000000005,69.63047003746033,0.0468185838505206
OXR,Two_Opt_Swap,-4.58,69.64876794815063,0.054918415826788
OXR,Two_Opt_Swap,-5.135000000000001,69.33211588859558,0.0354813922591484
OXR,Two_Opt_Swap,-5.185,69.96122479438782,0.0480980716088025
OXR,Two_Opt_Swap,-4.7,69.09030604362488,0.0568097063793824
OXR,Two_Opt_Swap,-4.875,69.55291509628296,0.0562880792930162
OXR,Two_Opt_Swap,-4.91,69.4477949142456,0.050109582374748
OXR,Two_Opt_Swap,-4.815000000000001,69.30957198143005,0.055908583608599
OXR,Two_Opt_Swap,-5.045,69.32545304298401,0.0467360811618655
OXR,Two_Opt_Swap,-5.045,69.69741892814636,0.0481366462574287
OXR,Two_Opt_Swap,-4.66,70.47924304008484,0.0488796396130512
OXR,Two_Opt_Swap,-5.54,71.04016423225403,0.0438484346660014
OXR,Two_Opt_Swap,-4.51,70.16282892227173,0.0672720879773668
OXR,Two_Opt_Swap,-4.670000000000001,70.41078877449036,0.0582297126812676
OXR,Two_Opt_Swap,-4.82,69.74860787391663,0.0506103291176953
OXR,Two_Opt_Swap,-4.78,69.89362406730652,0.0557275438493384
OXR,Two_Opt_Swap,-5.42,70.42790126800537,0.0461464837299708
OXR,Two_Opt_Swap,-5.375,69.42256999015808,0.0437177707542412
OXR,Two_Opt_Swap,-5.195000000000001,70.56717801094055,0.0455594242340476
OXR,Two_Opt_Swap,-5.325000000000001,70.89127993583679,0.0480312952888118
OXR,Two_Opt_Swap,-4.775,70.36724305152893,0.0608237556907809
OXR,Two_Opt_Swap,-5.289999999999999,70.8079719543457,0.0415913620841848
OXR,Two_Opt_Swap,-4.665000000000001,70.62901186943054,0.0477848961874087
OXR,Two_Opt_Swap,-5.01,71.0883219242096,0.0433967199744714
OXR,Two_Opt_Swap,-5.57,70.8037497997284,0.0472432605541582
OXR,Two_Opt_Swap,-4.540000000000001,69.76444292068481,0.0590558718383808
OXR,Two_Opt_Swap,-5.095000000000001,69.44421076774597,0.0491041652327886
OXR,Two_Opt_Swap,-4.94,69.31352996826172,0.0467441205415966
