Initialisation Type,Elitism(Y/N),Maximum Fitness,Time,Fitness Change per Time
Heuristic,Y,-4.465,279.28569197654724,0.001450127993073167
Heuristic,Y,-4.805,925.6742839813232,0.00011343082747032318
Heuristic,Y,-4.6000000000000005,304.23613595962524,0.0013805066208694443
Heuristic,Y,-4.745,292.0311999320984,0.0011300162451023383
Heuristic,Y,-4.4799999999999995,311.0475277900696,0.0006590632674578192
Heuristic,Y,-4.525,329.4760251045227,0.0015479123248442973
Heuristic,Y,-4.345000000000001,322.9021911621094,0.0015949102053056364
Heuristic,Y,-4.824999999999999,311.9657213687897,0.000368630244039066
Heuristic,Y,-4.385000000000001,310.9898011684418,0.0019614791150967853
Heuristic,Y,-4.760000000000001,336.6137809753418,0.0015447971217734861
Heuristic,Y,-4.3100000000000005,305.37600588798523,0.001129754772306993
Heuristic,Y,-4.505,295.070898771286,0.0009997597229290302
